SMILES,Drug_Name,Activity_Binary,IC50_uM,LogP,Molecular_Weight,HBA,HBD,Source
CC(=O)NC1=CC=C(C=C1)O,Paracetamol,1,0.52,1.35,151.2,2,2,Drug-like
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Theophylline,1,1.02,-1.03,194.2,6,0,Drug-like
c1ccc2c(c1)cccn2,Quinoline,0,399.2,2.23,129.2,1,0,Drug-like
CC(C)(C)NCC(O)COc1ccccc1,Atenolol,1,1.22,1.81,223.3,3,2,Drug-like
CCO,Ethanol,0,173.76,-0.0,46.1,1,1,Drug-like
CC(=O)NC1=CC=C(C=C1)O,Paracetamol,1,0.54,1.35,151.2,2,2,Drug-like
CC1=CC=CC=C1,Toluene,0,341.62,2.0,92.1,0,0,Drug-like
CC1=CC=CC=C1C,Compound_15,1,172.23,2.3,106.2,0,0,Random
c1ccncc1,Pyridine,0,85.91,1.08,79.1,1,0,Drug-like
c1ccc2c(c1)cccn2,Quinoline,0,153.07,2.23,129.2,1,0,Drug-like
C1=CC=C2C(=C1)C(=O)NC2=O,Phenytoin,1,0.85,0.57,147.1,2,1,Drug-like
CC(C)C[C@@H](C(=O)NCC(=O)O)NC(=O)C(C(C)C)N,Dipeptide,1,0.39,-0.3,287.4,4,4,Drug-like
COc1cc2c(cc1OC)C(=O)C3=C(C2=O)C(=O)C4=C(C3=O)C(OC)=C(OC)C=C4OC,Doxorubicin,1,0.31,1.08,438.4,9,0,Drug-like
CC1=CC=CC=C1,Toluene,0,471.49,2.0,92.1,0,0,Drug-like
CC(=O)NC1=CC=C(C=C1)O,Paracetamol,1,0.57,1.35,151.2,2,2,Drug-like
C1=CC=CC2=CC=CC=C12,Naphthalene,0,95.45,2.84,128.2,0,0,Drug-like
C1=CC=CC2=CC=CC=C12,Naphthalene,0,336.06,2.84,128.2,0,0,Drug-like
CCCCCCCCCCCCCCCC,Hexadecane,0,315.17,6.49,226.4,0,0,Drug-like
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Ibuprofen,1,0.84,3.07,206.3,1,1,Drug-like
C1=CC=CC2=CC=CC=C12,Naphthalene,0,214.17,2.84,128.2,0,0,Drug-like
CC(=O)NC1=CC=C(C=C1)O,Paracetamol,1,0.55,1.35,151.2,2,2,Drug-like
CCO,Ethanol,0,61.25,-0.0,46.1,1,1,Drug-like
CC(C)(C)C1=CC=C(C=C1)C(=O)O,Fenbufen,1,0.76,2.68,178.2,1,1,Drug-like
C1=CC=CC=C1C=O,Compound_10,1,9.9,1.5,106.1,1,0,Random
COC(=O)C=C,Compound_12,1,84.72,0.35,86.1,2,0,Random
C=CC=C,Compound_5,1,49.7,1.36,54.1,0,0,Random
CC1=CC=CC=C1,Toluene,0,170.14,2.0,92.1,0,0,Drug-like
CCO,Ethanol,0,337.74,-0.0,46.1,1,1,Drug-like
CCCCCCCCCC,Decane,0,201.47,4.15,142.3,0,0,Drug-like
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,Naproxen,1,1.53,3.07,206.3,1,1,Drug-like
CC(C)NCC(O)COc1ccccc1,Propranolol,1,1.46,1.42,209.3,3,2,Drug-like
CC(=O)Oc1ccccc1,Phenyl acetate,0,358.08,1.61,136.1,2,0,Drug-like
CC1=C(C=CC=C1)C(=O)O,o-Toluic acid,1,4.44,1.69,136.1,1,1,Drug-like
CC(C)(C)NCC(O)COc1ccccc1,Atenolol,1,1.54,1.81,223.3,3,2,Drug-like
CN1C=NC2=C1C(=O)NC(=O)N2C,Caffeine,1,1.23,-1.04,180.2,5,1,Drug-like
COc1cc2c(cc1OC)C(=O)C3=C(C2=O)C(=O)C4=C(C3=O)C(OC)=C(OC)C=C4OC,Doxorubicin,1,0.3,1.08,438.4,9,0,Drug-like
